financial_year,period,lost_customer_hours
2011/12,1,2509353.600000002
2011/12,2,2322088.7800000003
2011/12,3,1929444.7300000004
2011/12,4,2300769.49
2011/12,5,2059198.2199999995
2011/12,6,2462085.35
2011/12,7,2155101.939999999
2011/12,8,2054498.69
2011/12,9,1989066.36
2011/12,10,2043901.29
2011/12,11,2073883.69
2011/12,12,2604341.45
2011/12,13,1997430.9299999997
2012/13,1,1976895.6400000004
2012/13,2,2398403.1300000004
2012/13,3,2453426.7
2012/13,4,1745716.6900000006
2012/13,5,1728724.22
2012/13,6,1100217.39
2012/13,7,1253384.81
2012/13,8,1656899.1
2012/13,9,1726293.9099999992
2012/13,10,1461084.34
2012/13,11,1831202.08
2012/13,12,1709469.3000000007
2012/13,13,1815753.66
2013/14,1,1674459.3399999994
2013/14,2,1332503.12
2013/14,3,1534174.34
2013/14,4,1838159.4
2013/14,5,1749066.1300000006
2013/14,6,1401638.12
2013/14,7,1684079.5699999996
2013/14,8,1932918.5900000003
2013/14,9,1731746.68
2013/14,10,1420964.1999999995
2013/14,11,1522309.9600000004
2013/14,12,4932055.700000001
2013/14,13,1467235.2000000002
2014/15,1,1232270.3
2014/15,2,4400900.270000004
2014/15,3,1431678.62
2014/15,4,1467460.76
2014/15,5,1528313.41
2014/15,6,2111445.069999991
2014/15,7,1787749.74
2014/15,8,1449503.3400000003
2014/15,9,1794841.9099999997
2014/15,10,1165181.6800000002
2014/15,11,1513254.2599999995
2014/15,12,1447953.6200000006
2014/15,13,1331204.0000000002
2015/16,1,1679342.9199999992
2015/16,2,1048174.38
2015/16,3,1393155.9800000004
2015/16,4,4916461.19
2015/16,5,5225844.069999999
2015/16,6,1673474.25
2015/16,7,1642032.5199999989
2015/16,8,1523639.3500000003
2015/16,9,1697719.5300000005
2015/16,10,808159.9200000002
2015/16,11,1505232.3700000003
2015/16,12,1496334.0400000005
2015/16,13,1847728.6199999987
2016/17,1,1839940.8899999987
2016/17,2,1658274.4599999972
2016/17,3,2080947.250000001
2016/17,4,2542254.6600000025
2016/17,5,2005242.5999999985
2016/17,6,2199866.180000005
2016/17,7,1970358.100000003
2016/17,8,2269090.899999994
2016/17,9,4613543.760000003
2016/17,10,2378655.340000009
2016/17,11,2440100.5300000007
2016/17,12,2233237.589999997
2016/17,13,2032259.4699999967
