nlc,station,note,entry_weekday,entry_saturday,entry_sunday,exit_weekday,exit_saturday,exit_sunday,annual_entry_exit_million,borough,year,total_weekday,total_weekend
500,Acton Town                         , ,8702.0,6326.0,4216.0,8392.0,5976.0,4223.0,5.462387,,2011,17094.0,20741.0
502,Aldgate                            , ,11319.0,2358.0,2251.0,10919.0,3676.0,2758.0,6.235513,,2011,22238.0,11043.0
503,Aldgate East                       , ,15045.0,8983.0,8051.0,13957.0,8177.0,7672.0,9.157483,,2011,29002.0,32883.0
505,Alperton                           , ,4478.0,3357.0,2373.0,4665.0,3384.0,2399.0,2.945259,,2011,9143.0,11513.0
506,Amersham                           , ,3461.0,1496.0,975.0,3775.0,1582.0,869.0,2.09956,,2011,7236.0,4922.0
507,Angel                              , ,27812.0,21215.0,12655.0,27740.0,21851.0,12446.0,17.775047,,2011,55552.0,68167.0
508,Archway                            , ,13511.0,9146.0,5741.0,12556.0,7138.0,5108.0,8.08181,,2011,26067.0,27133.0
509,Arnos Grove                        , ,6711.0,5162.0,3129.0,6268.0,4648.0,3067.0,4.159371,,2011,12979.0,16006.0
510,Arsenal                            , ,4923.0,4534.0,2807.0,4281.0,3508.0,2634.0,3.067815,,2011,9204.0,13483.0
511,Baker Street                       , ,43877.0,28850.0,20798.0,41869.0,27280.0,19966.0,27.017574,,2011,85746.0,96894.0
512,Balham                             , ,18448.0,13543.0,8334.0,17769.0,12143.0,7961.0,11.459978,,2011,36217.0,41981.0
513,Bank & Monument                    ,B,87174.0,21429.0,11706.0,87584.0,21639.0,11203.0,47.804941,,2011,174758.0,65977.0
501,Barbican                           , ,16173.0,6673.0,3769.0,15812.0,6849.0,3576.0,9.228704,,2011,31985.0,20867.0
514,Barking                            , ,22912.0,15199.0,10192.0,21587.0,13841.0,9937.0,13.955938,,2011,44499.0,49169.0
515,Barkingside                        , ,1994.0,977.0,653.0,1872.0,1012.0,622.0,1.156751,,2011,3866.0,3264.0
516,Barons Court                       , ,11409.0,6579.0,4365.0,10111.0,5062.0,3867.0,6.53558,,2011,21520.0,19873.0
517,Bayswater                          , ,7284.0,7711.0,6390.0,6972.0,7242.0,5756.0,5.100938,,2011,14256.0,27099.0
